,Unnamed: 0,LATITUDE,LONGITUDE,FLOOR,BUILDINGID
0,0,4864981.697888468,-7594.656768610514,1,0
1,1,4864982.591540001,-7595.9990600004785,1,0
2,2,4864982.591540001,-7595.9990600004785,1,0
3,3,4864981.7893667435,-7594.869542765999,1,0
4,4,4864981.6781867435,-7595.2573627662,1,0
5,5,4864981.387286743,-7595.168262766683,1,0
6,6,4864981.969086742,-7595.346462765718,1,0
7,7,4864981.969086742,-7595.346462765718,1,0
8,8,4864982.702720001,-7595.6112400002785,1,0
9,9,4864982.591540001,-7595.9990600004785,1,0
10,10,4864979.853057327,-7595.024795728916,1,0
11,11,4864982.508940001,-7597.391420000046,1,0
12,12,4864980.87975481,-7595.542292297729,1,0
13,13,4864982.169520001,-7597.471440000087,1,0
14,14,4864961.575416666,-7635.000824445031,1,0
15,15,4864981.769080001,-7597.764680000396,1,0
16,16,4864982.482000002,-7596.381400000307,1,0
17,17,4864981.769080001,-7597.764680000396,1,0
18,18,4864981.769080001,-7597.764680000396,1,0
19,19,4864982.882440002,-7596.0881599999975,1,0
20,20,4864981.393940002,-7599.073420000823,1,0
21,21,4864980.971920001,-7600.545800000431,1,0
22,22,4864981.158062515,-7600.419354841966,1,0
23,23,4864961.794740002,-7635.3893333340675,1,0
24,24,4864981.533202514,-7599.110614841539,1,0
25,25,4864982.593180002,-7595.993580000102,1,0
26,26,4864981.9552225135,-7597.638234841931,1,0
27,27,4864981.222942513,-7600.193214841294,1,0
28,28,4864982.302280001,-7595.904480000585,1,0
29,29,4864981.769080001,-7597.764680000396,1,0
30,30,4864982.482000002,-7596.381400000307,1,0
31,31,4864982.482000002,-7596.381400000307,1,0
32,32,4864981.9552225135,-7597.638234841931,1,0
33,33,4864981.19263346,-7600.233586434853,1,0
34,34,4864980.912682513,-7601.275814841049,1,0
35,35,4864980.912682513,-7601.275814841049,1,0
36,36,4864980.311522512,-7602.269314841289,1,0
37,37,4864980.311522512,-7602.269314841286,1,0
38,38,4864980.311522512,-7602.269314841286,1,0
39,39,4864980.311522512,-7602.269314841289,1,0
40,40,4864980.311522512,-7602.269314841289,1,0
41,41,4864980.311522512,-7602.269314841289,1,0
42,42,4864979.8738825135,-7603.796154841142,1,0
43,43,4864979.8738825135,-7603.796154841142,1,0
44,44,4864979.8738825135,-7603.796154841142,1,0
45,45,4864980.537542514,-7602.5845548414745,1,0
46,46,4864979.8738825135,-7603.796154841142,1,0
47,47,4864980.537542514,-7602.5845548414745,1,0
48,48,4864979.8738825135,-7603.796154841142,1,0
49,49,4864979.8738825135,-7603.796154841142,1,0
50,50,4864979.8738825135,-7603.796154841142,1,0
51,51,4864979.8738825135,-7603.796154841142,1,0
52,52,4864978.349502514,-7609.114054841654,1,0
53,53,4864978.349502514,-7609.114054841654,1,0
54,54,4864979.932380001,-7614.5746800005445,1,0
55,55,4864978.55396,-7618.55020000115,1,0
56,56,4864980.27704,-7620.667720000445,1,0
57,57,4864981.117040001,-7621.245300000905,1,0
58,58,4864980.27704,-7620.667720000445,1,0
59,59,4864980.27704,-7620.667720000445,1,0
60,60,4864977.713959998,-7617.972620000691,1,0
61,61,4864977.911862513,-7610.640914841848,1,0
62,62,4864982.2842000015,-7624.338100000471,1,0
63,63,4864985.52106,-7629.557440000028,1,0
64,64,4864979.72112,-7621.643000000715,1,0
65,65,4864985.52106,-7629.557440000028,1,0
66,66,4864982.9823199995,-7625.223920000344,2,0
67,67,4864980.97516,-7621.553540000318,2,0
68,68,4864979.839980002,-7621.228120000659,2,0
69,69,4864979.839980002,-7621.228120000659,2,0
70,70,4864982.9823199995,-7625.223920000344,2,0
71,71,4864982.9823199995,-7625.223920000344,2,0
72,72,4864979.72112,-7621.643000000715,2,0
73,73,4864982.9823199995,-7625.223920000344,2,0
74,74,4864982.9823199995,-7625.223920000344,2,0
75,75,4864982.9823199995,-7625.223920000344,2,0
76,76,4864982.9823199995,-7625.223920000344,2,0
77,77,4864980.856299999,-7621.968420000374,2,0
78,78,4864980.537519999,-7623.080400000513,2,0
79,79,4864980.537519999,-7623.080400000513,2,0
80,80,4864980.537519999,-7623.080400000513,2,0
81,81,4864979.72112,-7621.643000000715,2,0
82,82,4864980.69566,-7622.6866800002745,1,0
83,83,4864979.56048,-7622.361260000616,1,0
84,84,4864977.55332,-7618.69088000059,1,0
85,85,4864978.55396,-7618.55020000115,1,0
86,86,4864978.55396,-7618.55020000115,1,0
87,87,4864978.55396,-7618.55020000115,1,0
88,88,4864978.55396,-7618.55020000115,1,0
89,89,4864980.561120002,-7622.220580001175,1,0
90,90,4864977.713959998,-7617.972620000691,2,0
91,91,4864980.561120002,-7622.220580001175,1,0
92,92,4864980.561120002,-7622.220580001175,1,0
93,93,4864980.561120002,-7622.220580001175,1,0
94,94,4864980.561120002,-7622.220580001175,1,0
95,95,4864980.561120002,-7622.220580001175,1,0
96,96,4864980.561120002,-7622.220580001175,1,0
97,97,4864980.561120002,-7622.220580001175,1,0
98,98,4864980.561120002,-7622.220580001175,1,0
99,99,4864980.561120002,-7622.220580001175,1,0
100,100,4864980.561120002,-7622.220580001175,1,0
101,101,4864980.561120002,-7622.220580001175,1,0
102,102,4864980.561120002,-7622.220580001175,1,0
103,103,4864979.054862512,-7617.325854842471,1,0
104,104,4864979.922880183,-7616.833682624211,1,0
105,105,4864978.234500183,-7612.051322624048,1,0
106,106,4864980.1234800005,-7623.747440001368,1,0
107,107,4864980.6688600015,-7621.84486000091,1,0
108,108,4864980.1234800005,-7623.747440001368,1,0
109,109,4864980.1234800005,-7623.747440001368,1,0
110,110,4864980.1234800005,-7623.747440001368,1,0
111,111,4864978.55396,-7618.55020000115,1,0
112,112,4864980.561120002,-7622.220580001175,1,0
113,113,4864981.93072,-7628.114920001477,1,0
114,114,4864981.93072,-7628.114920001477,1,0
115,115,4864982.95482,-7628.857440001519,1,0
116,116,4864986.223800002,-7632.440580001475,1,0
117,117,4864986.223800002,-7632.440580001475,1,0
118,118,4864984.91024,-7627.765620001405,1,0
119,119,4864980.561120002,-7622.220580001175,1,0
120,120,4864980.561120002,-7622.220580001175,1,0
121,121,4864983.392460002,-7627.330580001324,1,0
122,122,4864983.392460002,-7627.330580001324,1,0
123,123,4864980.561120002,-7622.220580001175,1,0
124,124,4864980.561120002,-7622.220580001175,1,0
125,125,4864980.561120002,-7622.220580001175,1,0
126,126,4864978.4350999985,-7618.965080001205,1,0
127,127,4864977.485342513,-7612.128614842253,1,0
128,128,4864977.485342513,-7612.128614842253,1,0
129,129,4864977.485342513,-7612.128614842253,1,0
130,130,4864980.561120002,-7622.220580001175,1,0
131,131,4864980.561120002,-7622.220580001175,1,0
132,132,4864980.561120002,-7622.220580001175,1,0
133,133,4864980.561120002,-7622.220580001175,1,0
134,134,4864980.561120002,-7622.220580001175,1,0
135,135,4864980.561120002,-7622.220580001175,1,0
136,136,4864980.561120002,-7622.220580001175,1,0
137,137,4864983.392460002,-7627.330580001324,1,0
138,138,4864981.7040800005,-7622.548220001161,1,0
139,139,4864983.392460002,-7627.330580001324,1,0
140,140,4864980.561120002,-7622.220580001175,1,0
141,141,4864981.7040800005,-7622.548220001161,1,0
142,142,4864981.7040800005,-7622.548220001161,1,0
143,143,4864983.392460002,-7627.330580001324,2,0
144,144,4864980.864080001,-7621.970640000701,2,0
145,145,4864982.990100001,-7625.226140000671,2,0
146,146,4864982.990100001,-7625.226140000671,2,0
147,147,4864979.72112,-7621.643000000715,2,0
148,148,4864984.678480001,-7630.008500000835,2,0
149,149,4864979.72112,-7621.643000000715,2,0
150,150,4864984.678480001,-7630.008500000835,2,0
151,151,4864986.661440002,-7630.913720001279,1,0
152,152,4864981.847140001,-7624.898500000685,2,0
153,153,4864983.392460002,-7627.330580001324,1,0
154,154,4864992.787388867,-7633.895846035399,1,0
155,155,4864992.876720001,-7636.993600001187,1,0
156,156,4864994.445308867,-7637.291706035353,1,0
157,157,4865000.157640001,-7638.806040000915,1,0
158,158,4864997.496900002,-7638.04336000085,1,0
159,159,4864997.496900002,-7638.04336000085,1,0
160,160,4864990.7507,-7633.738100001216,1,0
161,161,4864980.1234800005,-7623.747440001368,1,0
162,162,4864979.283479999,-7623.1698600009095,1,0
163,163,4864978.4350999985,-7618.965080001205,1,0
164,164,4864979.283479999,-7623.1698600009095,1,0
165,165,4864978.4350999985,-7618.965080001205,1,0
166,166,4864978.4350999985,-7618.965080001205,1,0
167,167,4864978.4350999985,-7618.965080001205,1,0
168,168,4864978.03274,-7616.860640000552,1,0
