,LATITUDE,LONGITUDE,FLOOR,BUILDINGID
0,4864980.617054025,-7597.093279636698,1,0
1,4864980.967612959,-7596.066822928144,1,0
2,4864981.695691309,-7596.860475869384,1,0
3,4864980.935325559,-7599.864691027207,1,0
4,4864980.935325559,-7599.864691027207,1,0
5,4864981.115694244,-7596.525101896608,1,0
6,4864981.500849292,-7596.137570141582,1,0
7,4864981.942889297,-7598.518583403202,1,0
8,4864982.033400606,-7598.093879271997,1,0
9,4864980.967612959,-7596.066822928609,1,0
10,4864979.392882234,-7594.339436282869,1,0
11,4864981.182940606,-7599.431319272844,1,0
12,4864979.392882234,-7594.339436282869,1,0
13,4864981.716140606,-7597.57111927215,1,0
14,4864951.280878495,-7641.482665812597,2,0
15,4864982.080846356,-7596.472944114124,1,0
16,4864981.742500607,-7598.004779272713,1,0
17,4864981.3831255585,-7598.827931028325,1,0
18,4864981.3831255585,-7598.827931028325,1,0
19,4864980.253681426,-7595.201451538131,1,0
20,4864981.768280607,-7598.440399272833,1,0
21,4864981.768280607,-7598.440399272833,1,0
22,4864981.147248072,-7600.1738658694085,1,0
23,4864949.252738398,-7642.043935909402,2,0
24,4864981.330985559,-7597.958651026944,1,0
25,4864981.181699507,-7599.755911557004,1,0
26,4864981.330985559,-7597.958651026944,1,0
27,4864980.94582202,-7601.10184639832,1,0
28,4864981.181699507,-7599.755911557004,1,0
29,4864981.181699507,-7599.755911557004,1,0
30,4864981.357345559,-7598.392311027972,1,0
31,4864981.357345559,-7598.392311027972,1,0
32,4864981.330985559,-7597.958651026944,1,0
33,4864981.020725558,-7599.041251027491,1,0
34,4864980.698870617,-7601.2496663085185,1,0
35,4864981.095108071,-7599.304585868726,1,0
36,4864980.811208071,-7600.820845868671,1,0
37,4864980.698870617,-7601.2496663085185,1,0
38,4864980.811208071,-7600.820845868671,1,0
39,4864980.811208071,-7600.820845868671,1,0
40,4864980.811208071,-7600.820845868671,1,0
41,4864980.811208071,-7600.820845868671,1,0
42,4864980.836988071,-7601.256465869024,1,0
43,4864980.836988071,-7601.256465869024,1,0
44,4864980.836988071,-7601.256465869024,1,0
45,4864980.836988071,-7601.256465869024,1,0
46,4864981.3922265945,-7600.314632194815,1,0
47,4864980.022311818,-7604.346009240253,1,0
48,4864980.836988071,-7601.256465869024,1,0
49,4864981.3922265945,-7600.314632194815,1,0
50,4864980.022311818,-7604.346009240253,1,0
51,4864980.577550342,-7603.404175565811,1,0
52,4864977.620284964,-7612.180825941963,1,0
53,4864979.1044065915,-7607.751628113678,1,0
54,4864980.682643108,-7620.341964088613,1,0
55,4864980.682643108,-7620.341964088613,1,0
56,4864980.923064403,-7619.227676359937,1,0
57,4864982.611444405,-7624.010036359774,1,0
58,4864980.923064403,-7619.227676359937,1,0
59,4864980.923064405,-7619.227676359471,1,0
60,4864980.923064405,-7619.227676359471,1,0
61,4864977.491456702,-7611.933066258207,1,0
62,4864982.930224405,-7622.898056359962,1,0
63,4864982.930224405,-7622.898056359962,1,0
64,4864985.761564405,-7628.008056360064,1,0
65,4864985.761564405,-7628.008056360064,1,0
66,4864984.351919999,-7631.1182600006,2,0
67,4864984.796629742,-7630.703540772665,2,0
68,4864986.803789742,-7634.37392077269,2,0
69,4864986.803789742,-7634.37392077269,2,0
70,4864984.351919999,-7631.1182600006,2,0
71,4864984.351919999,-7631.1182600006,2,0
72,4864989.36592,-7635.650480000302,2,0
73,4864984.796629742,-7630.703540772665,2,0
74,4864989.36592,-7635.650480000302,2,0
75,4864984.796629742,-7630.703540772665,2,0
76,4864984.796629742,-7630.703540772665,2,0
77,4864985.850419552,-7631.426666215295,2,0
78,4864988.992759552,-7635.422466215445,2,0
79,4864988.992759552,-7635.422466215445,2,0
80,4864986.654259998,-7634.53648000001,2,0
81,4864986.654259998,-7634.53648000001,2,0
82,4864976.362962451,-7616.044011100428,1,0
83,4864976.362962451,-7616.044011100428,1,0
84,4864976.362962451,-7616.044011100428,1,0
85,4864976.484523747,-7615.344603372272,1,0
86,4864976.484523747,-7615.344603372272,1,0
87,4864978.610543747,-7618.600103371544,1,0
88,4864987.49426,-7635.114059999585,2,0
89,4864982.492584405,-7624.42491635913,1,0
90,4864988.992759552,-7635.422466214513,2,0
91,4864987.49426,-7635.114059999585,2,0
92,4864987.49426,-7635.114059999585,2,0
93,4864987.49426,-7635.114059999585,2,0
94,4864987.49426,-7635.114059999585,2,0
95,4864978.491683748,-7619.014983371366,1,0
96,4864978.491683748,-7619.014983371366,1,0
97,4864982.492584404,-7624.424916359596,1,0
98,4864987.49426,-7635.114059999585,2,0
99,4864978.491683748,-7619.014983371366,1,0
100,4864978.491683748,-7619.014983371366,1,0
101,4864980.180063747,-7623.797343371669,1,0
102,4864980.180063748,-7623.797343371203,1,0
103,4864978.610092769,-7618.63105740305,1,0
104,4864978.3529092055,-7611.667396655306,1,0
105,4864977.541475282,-7612.209472244373,1,0
106,4864983.39246,-7627.330580000998,1,0
107,4864980.180063747,-7623.797343371669,1,0
108,4864980.180063748,-7623.797343371203,1,0
109,4864980.180063747,-7623.797343371669,1,0
110,4864980.180063748,-7623.797343371203,1,0
111,4864978.251262451,-7620.129271100741,1,0
112,4864987.49426,-7635.114059999585,2,0
113,4864981.987303748,-7628.164823371684,1,0
114,4864979.861283747,-7624.909323371947,1,0
115,4864983.011403748,-7628.907343371306,1,0
116,4864986.280383749,-7632.490483371541,1,0
117,4864984.286083056,-7631.151477025589,2,0
118,4864986.841704404,-7629.969956360292,1,0
119,4864982.689803109,-7624.012344088871,1,0
120,4864987.49426,-7635.114059999585,2,0
